fileNumber,time,latitude,longitude,pres,temp,psal,doxy,turbidity,chla,nitrate,model_temp,model_salt
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,26.0,19.278,35.88,,,,,20.532118,35.95176
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,28.0,19.307,35.892,,,,,20.050678,35.987457
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,29.96,19.296,35.906,,,,,20.050678,35.987457
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,31.92,19.185,35.902,,,,,20.050678,35.987457
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,33.96,18.945,35.888,,,,,19.517385,36.02943
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,36.0,18.817,35.862,,,,,19.517385,36.02943
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,38.04,18.725,35.857,,,,,19.108404,36.038715
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,40.0,18.586,35.853,,,,,19.108404,36.038715
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,42.0,18.461,35.853,,,,,19.108404,36.038715
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,44.0,18.336,35.851,,,,,18.686646,36.018417
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,46.0,18.258,35.849,,,,,18.686646,36.018417
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,47.96,18.151,35.845,,,,,18.686646,36.018417
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,50.0,18.019,35.831,,,,,18.686646,36.018417
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,52.0,17.901,35.827,,,,,18.0021,35.9495
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,53.96,17.809,35.822,,,,,18.0021,35.9495
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,56.0,17.795,35.823,,,,,18.0021,35.9495
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,58.0,17.799,35.829,,,,,18.0021,35.9495
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,60.04,17.739,35.833,,,,,18.0021,35.9495
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,62.04,17.682,35.828,,,,,17.268402,35.855576
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,64.04,17.621,35.823,,,,,17.268402,35.855576
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,66.04,17.522,35.814,,,,,17.268402,35.855576
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,68.04,17.446,35.809,,,,,17.268402,35.855576
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,70.0,17.392,35.801,,,,,17.268402,35.855576
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,72.0,17.378,35.799,,,,,16.89405,35.79443
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,74.0,17.361,35.796,,,,,16.89405,35.79443
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,76.0,17.344,35.795,,,,,16.89405,35.79443
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,77.96,17.315,35.792,,,,,16.89405,35.79443
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,80.0,17.248,35.791,,,,,16.89405,35.79443
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,82.0,17.186,35.788,,,,,16.89405,35.79443
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,84.0,17.156,35.786,,,,,16.89405,35.79443
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,86.0,17.108,35.781,,,,,16.641785,35.7499
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,88.0,17.055,35.776,,,,,16.641785,35.7499
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,90.0,17.015,35.771,,,,,16.641785,35.7499
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,91.96,16.976,35.767,,,,,16.641785,35.7499
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,94.0,16.927,35.762,,,,,16.641785,35.7499
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,95.96,16.876,35.758,,,,,16.641785,35.7499
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,98.0,16.837,35.755,,,,,16.641785,35.7499
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,100.04,16.801,35.752,,,,,16.641785,35.7499
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,101.96,16.79,35.751,,,,,16.353157,35.698227
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,103.92,16.768,35.75,,,,,16.353157,35.698227
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,105.96,16.747,35.748,,,,,16.353157,35.698227
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,108.0,16.728,35.747,,,,,16.353157,35.698227
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,110.0,16.681,35.744,,,,,16.353157,35.698227
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,112.0,16.64,35.739,,,,,16.353157,35.698227
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,114.0,16.576,35.734,,,,,16.353157,35.698227
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,116.0,16.468,35.722,,,,,16.353157,35.698227
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,117.96,16.373,35.712,,,,,16.353157,35.698227
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,120.0,16.332,35.704,,,,,16.353157,35.698227
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,122.0,16.262,35.698,,,,,15.831778,35.630047
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,124.0,16.205,35.689,,,,,15.831778,35.630047
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,126.0,16.179,35.685,,,,,15.831778,35.630047
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,128.0,16.106,35.678,,,,,15.831778,35.630047
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,130.0,16.008,35.668,,,,,15.831778,35.630047
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,131.96,15.931,35.657,,,,,15.831778,35.630047
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,133.96,15.905,35.654,,,,,15.831778,35.630047
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,135.92,15.856,35.65,,,,,15.831778,35.630047
3902687,2025-08-09 01:13:45+00:00,5.27922,0.17762,137.92,15.743,35.636,,,,,15.831778,35.630047
